,Date,Tweet,User
10,2021-07-21 23:59:27,"@CNNIndonesia Jangankan PPKM, dsuruh pakai masker masih banyak yg ngeyel. Sok peduli dg nakes tapi kelakuan sebaliknya.
Dalam barisan yg sama, mereka yg ga percaya Covid &amp; mnolak vaksinasi.
Dalam barisan yg sama, mereka yg demo menolak PPKM, mengeluh soal perut tapi tetap angkat tagar halu.
😊",Kelima Brd
11,2021-07-21 23:59:26,"UP DATE KASUS COVID-19
21 JULI 2021

Jumlah kasus aktiv
549.694 (-498) 

PENAMBAHAN KASUS
• Positif        : + 33.772
• Sembuh     : + 32.887
• Meninggal : +   1.383

SEBARAN KASUS
• JABAR : 5.950
• DKI       : 5.904
JATENG : 4.253 https://t.co/DUprP3nSAF",Embun Pagi💧💧
12,2021-07-21 23:59:25,"Pasien covid-19 dan pasien biasa yang memasuki rumah sakit tersebut mendapat pelayanan darurat di dalam ruangan IGD yang sama tanpa adanya sekat pembatas.
  https://t.co/A5aCqwvBL0",Media Indonesia
13,2021-07-21 23:59:19,"@handokotjung yang bukan merupakan vaksin covid-19 adalah
A. Sinopharm
B. Pfizer
C. Vaksin Terawan
D. Astrazeneca",?
14,2021-07-21 23:59:15,"Ada contoh dua individu penyintas covid19 yakni fakta bahwa keduanya terpapar virus Covid-19, yang menjadi pembedanya adalah reaksi atau respon perilaku kedua orang tersebut.",Yusuf αϑi Putera
15,2021-07-21 23:59:05,"Arahan Menteri Desa PDTT Terkait Penanganan Covid-19 di Desa.
#DESAAMANCOVID 
@jokowi
@halimiskandarnu
@kemendesapdtt
@malik_haramain
@imansyukri
@taufikmadjid71
@yusradaridesa
@azzameldzikrie
@tppkemendes
@Brigade01Arwan1 
@cik_mashuri https://t.co/I11qrU3Ox3",Antonhilman
16,2021-07-21 23:59:00,"@MHendratmoko @jokowi Komentar sy bukan kebencian, Jokowi itu penentu kebijakan apa yang pantas sy apresiasi soal penanganan COVID? Realitanya Kematian akibat covid terus bertambah.",Rahmat Hidayat H
17,2021-07-21 23:58:41,"@Mr_Ideologis Rektor UI kena Covid, Covid nua yg di karantina 😂",ceu noor
18,2021-07-21 23:58:38,Pemerintah tidak menggunakan istilah 'PPKM darurat' dalam penanganan COVID-19 #EfekBaikPPKMDarurat https://t.co/jaEKZkjKoQ,zianakaif
19,2021-07-21 23:58:35,"Penyaluran Bantuan sosial Aslog Polri di masa PPKM Darurat oleh Bhabinkamtibmas Desa Sidorejo BRIPKA Lilik Mujiyanto kepada warga yang terdampak Covid-19 di wilayah Kecamatan Bendosari. [21/7/2021]
.
.
#PolriPeduli 
#patuhiPPKMDarurat 
#patuhiprotokolkesehatan https://t.co/utzMJqUvnj",Polsek Bendosari Sukoharjo
20,2021-07-21 23:58:35,"@leoagoestino26 @ruhutsitompul Cara berpikir yang aneh begini ini yang mengakibatkan disinformasi soal covid..

Isu Ambulan kosong muter muter, akhirnya ada ambulan lewat dilempar
Isu vaksin memasukkan chip, akhirnya banyak yg anti vaksin

Byk yg meninggal di RS, yg disalahkan RS...

Logika ajaib nitizen indon",NKH
21,2021-07-21 23:58:32,"Akhirnya cerita cerita, cerita pas februari pas dia sakit kemarin itu dia bilang habis jenguk sodaranya yang covid itu tadi, terus dia nyeletuk, ""Paling aku ketularan dari situ kayake yo?, sampe katae dokter saturasi turun.""

Aku spontan kaget dong. kenapa ga jujur kemarennn.",Hyudi
22,2021-07-21 23:58:32,"@ana_khoz Udah biarin z umat monaslimin ga bakalan ngerti penyebaran covid, biarin z dia berkerumun dan bila kena covid jgn ditolongin, biar dia merasa sensasi paru2nya digerogoti tentara Allah...",Brow Ajjah
23,2021-07-21 23:58:30,"Saturasi oksigen turun katanya, terus diinjeksi apa gatau belio da ngaku. Tapi ga tau kenapa belio nolak tes covid. Nah 2 hari setelah ke dokter, belio lemes muntah parah ga mau makan samsek. Akhirnya aku dateng ke rumahnya kan. Cuma cek tdnya berapa, suhu, dkk lah. Aku tanyai..",Hyudi
24,2021-07-21 23:58:30,"Ini berdasarkan pengakuan dosa dari mbahku barusan kemarin.

Jadi pas Februari 2021 itu mbahku nekat njenguk orang covid, tapi pas itu ga tau kalo covid soalnya belum tes. Nah pulang pulang belio besoknya meriang, mual, muntah muntah, panas,  dkk. Sempet dibawa ke dokter,.. https://t.co/ZKmzfc7399",Hyudi
25,2021-07-21 23:58:30,"Kepala daerah gak punya hati jg tuh kayaknya yg memperlambat penyaluran bansos,trs ntar kalau masyarakat ngeluh yg disalahkan pemerintah pusat,pdhl ulahnya daerah,

https://t.co/IDSYDe4o8a",@Devy215manalu #🇮🇩🇮🇩🇮🇩#
26,2021-07-21 23:58:21,"#BRI menghadirkan #BPUM Reservation System untuk memudahkan &amp; mempercepat pencairan Bantuan Produktif Usaha Mikro, di tengah kondisi pandemi #Covid yang meningkat dalam beberapa pekan terakhir.
.
@BANKBRI_ID #JPRM #PEN #UMKM #BPUM #BBRI #usahamikro #BRI 
.
https://t.co/vEy7hkC9lD",jawaposradarmalang
27,2021-07-21 23:58:19,"@AbanggSayur Spray, gak terlalu berguna utk pasien covid.",Annisa AM !
28,2021-07-21 23:58:16,@Moch_herianto @AnggriantoJohny @KhofifahIP Siapa bilang dia tdk kerja? Yang berhasil menaikan positif rate covid di jatim siapa? Itulah hasil kerja gub yg suka pesta dan yg bilang org madura sakti2x,Komodo
29,2021-07-21 23:58:12,"@gie92660610 @Lelaki_5unyi Ini lagi covid lu tahu gk bukan cuma Indonesia yang kena goblok lu mau pandemi berakhir gampang vaksin cuma itu jalan satu2nya, tapi yang ada di otak kecil lu kan cuma konspirasi tai kucing itu lu tahu negara luar kenapa bisa lepas masker lihat datanya di covid dunia ada itu",samuel pangaribuan
30,2021-07-21 23:58:08,"@jokowi gimana mau turun pak, jatoh dri atap aja di masukin ke covid sama pihak rumah sakit, sakit lambung kudu di msukin ke vibid bru bisa opname di rs...",Ohannykim
31,2021-07-21 23:58:06,Tips jaga imunitas anak dari @LathifahEdib https://t.co/PleoQQpGtM,aji setiawan
32,2021-07-21 23:58:05,"Slmt di bln Juli hujan, musim kemarau basah. Semoga musim yg panas, basah, lembab ini tdk mndukung pembangkitan penyakit baru bersama Covid.",agus ciburial
33,2021-07-21 23:58:00,"@SINDOnews Para pemudaaa, cik atuh jangan nambah2 covid di Bandung",Ridho_owi
34,2021-07-21 23:57:55,Pesakit bukan Covid-19 dipindah ke hospital swasta https://t.co/pi0BZujjDw,Utusan Malaysia
35,2021-07-21 23:57:47,"Masyarakat mendukung percepatan penanganan Covid-19, sinergitas antara lembaga pemerintah bantu percepatan penanganan Covid-19
PPKM Pulihkan Rakyat https://t.co/iCtRhIrPUq",Ferdi Ardian
36,2021-07-21 23:57:31,"klo ke rakyat jelata bisa bilang : klo selesai hanya dengan minta maaf, buat apa ada ninu ninu ninu hehehe

https://t.co/1jmtUy7Hmn",Randy Ariaputra
37,2021-07-21 23:57:23,"Tangani Covid,  45.710 Rumah Isolasi Desa Tampung 1.117.066 Warga Terpapar Covid19
#DesaBisa
@jokowi 
@halimiskandarnu
@Kemendespdtt
@ditjenpdp
@malik_haramain
@imansyukri
@taufikmadjid71
@yusradaridesa 
@azzameldzikrie https://t.co/LuBNngujWH",Antonhilman
38,2021-07-21 23:57:22,"@NcuhiRiwo Mudah memang mendatangkan Jutaan TKA CHINA dan Pribumi disuruh tetap dirumah.

Sy yakin Covid gak akan pernah berakhir dari Negeri ini jika Rezim ini masih berkuasa dengan Arogan dan berbisnis dengan Rakyat.",PENCARI KEADILAN
39,2021-07-21 23:57:19,@AchFath Kakak sepupu. Covid ada komorbid,didik hermawan
40,2021-07-21 23:57:07,"@lejef Ini msh pandemi bisa2nya kerumunan, nanti ortumu yg rentan kena covid, nangis2 cari IGD susah bro, semua nggak nyaman dg kondisi spt ini, sabar dong, pemerintah sdh memikirkan yg terbaik buat rakyatnya",ANS
41,2021-07-21 23:56:59,"@bukalapaq @mbaupeh btw ini bukan ngeluh. ttep harus semangat ga boleh sakit karena itu tanggung jawab kami. tapi plis semua nya ayok brg brg ngusir covid. ini tugas kita semua. dan justru masyarakat lah garda terdepan, bantu lawan covid dg minimal patuhi proses, jaga diri, jaga keluarga :')",t e d u h 🌜
42,2021-07-21 23:56:55,Semua hidup normal… Tidak ada covid di Ba SIng Se… https://t.co/VshUx1qZKB,teman kaca mata di kelasmu dulu
43,2021-07-21 23:56:52,"Mata Najwa - Harap Sabar Masih Darurat (Part 4)
https://t.co/7URwXBGcCW

Presiden Jokowi mengingatkan pemerintah agar sensitif terhadap kondisi laju penyebaran Covid-19 di Indonesia. #MataNajwaHarapSabarMasihDarurat",Narasi
44,2021-07-21 23:56:52,Ayuh Bersama Membaca Qunut Nazilah Dalam Menghadapi Musibah COVID-19 https://t.co/tb28DHU8w2,Santapan Minda 🇲🇾🇵🇸
45,2021-07-21 23:56:52,"Mata Najwa - Harap Sabar Masih Darurat (Part 3)
https://t.co/HjLuPGAKzO

Papua terapkan lockdown untuk menekan penyebaran Covid-19 di Papua menjelang PON XX. #MataNajwaHarapSabarMasihDarurat",Narasi
46,2021-07-21 23:56:47,"Polri akan terus berkomitmen serta bersinergi dengan TNI untuk membantu masyarakat yang terdampak covid-19 selama masa PPKM Darurat

#PolriDistribusikanBansos
Bantu Terdampak Pandemi https://t.co/XqhHJzWRCg",PolsekPurwakartakota
47,2021-07-21 23:56:42,"Bakti Sosial Berbagi Dalam PPKM Darurat 

Wujud Polri dalam kepedulian kepada masyarakat dengan bebagi di masa Pandemi Covid - 19 

Semoga dapat sedikit meringankan kebutuhan ekonomi masyarakat  bagi yang terdampak PPKM Darurat

#BantuanSosial 
#PolriPeduliMasyarakat https://t.co/VtnGfJEqUj",Polsek Metro Kibang
48,2021-07-21 23:56:29,"@DongenakDongora @Drrewup Berita ini pasti ga' ditampilkan di media Indonesia..... 
Yg ada cuma bilang 545 dokter gugur krn covid https://t.co/XIKJMuGbKC",RENIEKA PUTRI
49,2021-07-21 23:56:28,@finawagey @DKIJakarta @dinkesJKT Saya sudah 1 tahun lebih masih batuk2. Itu karena paru2 saya kena... Memang sudah resiko yg terkena long covid...,Lucky Yugi
50,2021-07-21 23:56:26,@kumparan Biarlah kami mengkritik pak agar kebijakannya sampean untuk menangani covid yg menggunakan dana uang rakyat ratusan trelion itu bisa menghasilkan atau menemukan cara yg tepat untuk menekan penyebaran corona.,Mohammad FTih
51,2021-07-21 23:56:19,@na_dirs Apapun istilahnya yg penting covid turun dan bansos cair,glewoh
52,2021-07-21 23:56:15,"Bisa Ngamuk-Ngamuk Ini Pemilik Proyek Covid-19

Garam Krosok, Cara Mudah dan Murah Rontokkan Corona, Tapi Dimusuhi Pemilik Proyek Covid – IDTODAY NEWS https://t.co/Tk9Zv13WyQ",Laksana YUDHI🆔⚖
53,2021-07-21 23:56:11,"@Mhanifpriatama @__Sridiana_3va @ajenghangesti1 Gw ga bilang ga perlu dites. Tapi harus ada pertanggung jawabannya juga dari pihak terkait soal kesalahan test tsb. Jangan jd bola liar. Udh banyak case yg salah test krn ngaco nya alat. Dampaknya jg serius, org non covid dicekokin obat yg kontraindikasi. Siapa tanggung jwb?",Tegawati Soekarni
54,2021-07-21 23:56:06,"Tadi malem walaupun tidurku nyenyak, tapi ada mimpi yang agak aneh. Aku mimpi makan di luar, terus nularin covid ke keluarga. Ya ampun 😭😭😭",kopitube
55,2021-07-21 23:56:06,RSUD dr Soetomo mengubah gedung parkir enam lantai menjadi ruang perawatan pasien Covid-19. Tempat itu akan menampung orang-orang yang bergejala sedang hingga berat,Anggita Hastriana
56,2021-07-21 23:55:58,@ainshazwanie_ Hahaha bila tu soalan paling susah utk masa covid ni hahah,nur fajrina minhat
57,2021-07-21 23:55:50,@februar_ry Ada dokter berujar di TikTok aa dia bilang gak perlu nunggu 3 bulan klo mau vaksin pasca kena covid,I' m Gee
58,2021-07-21 23:55:47,@FKadrun China NYUMBANG VARIAN VIRUS COVID LEWAT GEROMBOLAN YG DATANG...SEJAWA SEMAPUT,UP-ICoNE 🌠
59,2021-07-21 23:55:43,Kejar Testing dan Tracing Covid di Perumahan Padat Penduduk https://t.co/Z6gz8lpDpp,Indonesiaku
60,2021-07-21 23:55:43,Kejar Testing dan Tracing Covid di Perumahan Padat Penduduk https://t.co/LPBo2n0892,Nawacita.co
61,2021-07-21 23:55:41,Kejar Testing dan Tracing Covid di Perumahan Padat Penduduk https://t.co/HHqupU4hRD,nawacita
62,2021-07-21 23:55:34,@azzura_lhi Semoga covid ini segera berlalu agar bisa hidup tenan normal dan damai,Noorma Fitriana M ZAIN
63,2021-07-21 23:55:29,"Anggota keluarga pacarku positif covid dan pacarku udh menunjukkan gejala. 

Aku sekarang lagi berjuang melawan anxiety yang berlebihan",Krishna
64,2021-07-21 23:55:17,"Selain itu, satgas penanggulangan Covid-19 di daerah diharapkan mengoptimalkan tes PCR, dibandingkan dengan tes antigen, dan mengoptimalkan APBD untuk belanja kebutuhan penanganan Covid-19.",KH. Ma'ruf Amin
65,2021-07-21 23:55:14,Koordinasi antar pusat dan daerah sangat penting guna menyelaraskan dan mengoptimalkan langkah penanganan pandemi Covid-19. https://t.co/eijnNo1Epe,KH. Ma'ruf Amin
66,2021-07-21 23:55:12,"Arahan Gus Menteri Terkait Efektivitas,  penanganan covid 19 di desa 
#ManfaatDanaDesa2021 
@halimiskandarnu
@Kemendespdtt
@malik_haramain
@imansyukri
@taufikmadjid71
@rahmangelia83
@fachrilabalado
@yusradaridesa 
@Brigade01Arwan1
@azzameldzikrie 
@tppkemendes 
@TppLampung https://t.co/1bZGa67wFY",M.Syahriel
67,2021-07-21 23:54:49,"#Indomie makanan pertama yang bisa saya nikmati, karena bisa mencium bau dan merasakan bumbunya ketika positip covid. Apakah yg lain begitu juga?",bunga
68,2021-07-21 23:54:46,@__AnakKolong Apalagi Masjid2 warna Biru Nekat abaikan anujaran Pemwrintah tunggu Umatmu 2 minggu lagi Panen covid jangan kaget kalau 2 minggu lagi bayak yg dikubur...,Prabu Nusantara
69,2021-07-21 23:54:44,@vpisankv Survivor Covid-19 sekaligus korban PHK emang menumbuhkan kebijakan tersendiri dalam dirinya.,Ilham Budi Cahyadi
70,2021-07-21 23:54:42,Walkot Bogor Bima Arya Dipanggil Jokowi Bahas Covid https://t.co/h8e4YO8oXn,CNN Indonesia
71,2021-07-21 23:54:32,"@ana_khoz Nanti kalo banyak yg kena covid,gara2 sholat id di mesjid dan meninggal tinggal salahin pemerintah dzalim, tidak mampu menjaga warganya, ga becus urus warga.. Gituya??",Rangga Setyo
72,2021-07-21 23:54:27,"@aik_arif @ardi_tama1 Adik ipar saya ngotot cuma flu biasa, ga mau tes katanya takut nanti dikarantina. Dia sekeluarga saat ini tinggal dgn ortu. Kemarin, bapaknya dikuburkan setelah dirawat 3 hari, ibunya saat ini masih di ruang rawat covid. https://t.co/Jjz5ciWnSX",Sharon Otniel Sirupa
73,2021-07-21 23:54:26,"#Covid19 #VirusCorona #Indonesia #

Penanganan Covid-19 Masih Belum Sempurna, Sejumlah Menteri Kini Ramai-Ramai Minta Maaf, Cukupkah? 
https://t.co/IgvJy9P3f1 via @serambinews",Serambi Indonesia
74,2021-07-21 23:54:21,"@mulanbilqis saya percaya.... jika manusia kardus tsb menemui para penderita covid 19, tanpa apd / masker, bila perlu live streaming",rudi #lakukan PROKES dengan benar!
75,2021-07-21 23:54:15,"Allah tak segan memberi perumpamaan dgn seekor nyamuk atau yg lbh kecil dari itu : VIRUS. 
Utk menunjukkan bhw manusia itu lemah &amp; hina. 

Saat seorg meninggal krn covid, misalnya. Tubuhnya dibungkus n dikubur tanpa boleh disentuh. si virus yg mati mlh jd vaksin yg manfaat !",muhammad iqbal
76,2021-07-21 23:54:15,"Warga Takut Tertular, Jenazah Covid-19 Lima Kali Ditolak Warga hingga Kades Saat Mau Dimakamkan
 
https://t.co/yO4WiNMMBy lewat @tribunnews",TribunJakarta.com
77,2021-07-21 23:54:08,RSUD dr Soetomo sempat mengalami overkapasitas bagi pasien Covid-19. Beberapa ruangan pun diubah menjadi lokasi perawatan khusus,Andre Wibowo
78,2021-07-21 23:54:07,@detikcom Akhirnya ada yg negatif dari covid 19....,fangky anugrah
79,2021-07-21 23:54:04,"Sebelum ada covid enak bangetttt 
Tinggal yuk yuk yuk tanpa mikir https://t.co/lVZ6r6j3IB",Tasya
80,2021-07-21 23:53:50,"Gabungan Tim Satgas Covid-19 Kecamatan Bendosari  melaksanakan Operasi Yustisi dan pastikan pelaksanaan PPKM Darurat dapat dipatuhi semua warga guna menekan penyebaran Covid19. [21/7/2021]
 .
 .
#patuhiPPKMDarurat 
#bersamacegahcovid19 
#ayopatuhiprotokolkesehatan https://t.co/YymQvxvSA0",Polsek Bendosari Sukoharjo
81,2021-07-21 23:53:32,"@AdamPrabata Katanya org yg sudah kena covid ga usah di vaksin dok @AdamPrabata karna anti body nya udah terbentuk 
Saya jd bingung bisa di jelaskan 🙏",umi umi
82,2021-07-21 23:53:31,Ayo Semua Harus Saling Membantu Agar Pandemi COVID-19 di Indonesia Segera Berakhir https://t.co/08h21Geljs,I Putu Yus Rhon
83,2021-07-21 23:53:29,"dada nyesek kirain kena covid
ternyata ngeliat kamu lagi sama yg lain.",bimanrrhmn20_
84,2021-07-21 23:53:26,"@judginganalyst Hadeeh,doi baru"" aja ginian abis kena covid. Dulu"" aja masih sering blusukan bawa rombongan asal ""prokes"". Eh rombongannya jadi cluster. Stok oksigen di daerahnya susah banget. RS full. 😌😌",rottenpeanut
85,2021-07-21 23:53:23,@salma_yeha Mo nangis sangking terharunya. Tapi gpp kalau gk hoek..hoek... Ntar dikira covid... 😌,Greentea Boba
86,2021-07-21 23:53:17,"@Hilmi28 Rektor UI berkerumun, virus covid nyebar.",maswe
87,2021-07-21 23:53:06,"@maspiyuaja Selama masih ada joko. 
Covid  tetap ada. 
#JanganTunggu2024 
#JanganTunggu2024",#BUMNGATE
88,2021-07-21 23:53:05,"@yo2thok @visiau @satgascovid19id Tegaskn kmatian smskali tdk ada hub dg vksin tp scara implisit akui vksin bresiko u org yg idap sakit tertentu.
La itu kn artinya ada hubungn? Org sakit jntung trinfeksi covid mninggal, mk dsebut meninggal krn covid tp jk mninggal stlh vaksin dsebut takada hub dg vaksin. Gmn sih",PSI #KawalUangCukong
89,2021-07-21 23:52:58,"@ana_khoz Orang gemblung sukanya mlintir masalah, setahuku tidak ada yg melarang sholat hanya menghindari kerumunan yg bisa berdampak penularan covid 19. Kepada orang lain.",Pemburu Angin
90,2021-07-21 23:52:58,"baru gw temuin ternyata itu bukan vaksin covid, melainkan vaksin anak. Kandungannya hanya Hepatitis B, seharusnya ada 4","Hoseajeremia, dr."
91,2021-07-21 23:52:53,"para oknum masa yg tidak tau diri dan sadar diri menjadikan pandemi terus menerus terjadi, apalagi dikaitkan dgn moment-moment hari besar islam selalu difitnah yg akhirnya selalu menyalahkan pemerintah, padahal pemerintah sangatlah super sibuk utk memutus wabah covid-19 tsb. https://t.co/j1ngeyl39p",Rinira
92,2021-07-21 23:52:45,"[VIDEO] Rebah sebelum sempat dapatkan rawatan, wanita disahkan positif Covid-19 - https://t.co/ukKr07W5q6 https://t.co/wZwLpO5F6E",Berita Viral
93,2021-07-21 23:52:41,"@CNNIndonesia dari januari 2020 covid di wuhan, sampai april 2021 covid delta di india. baru sekarang rencana mau dilarang, itu pun 2 hari lagi. bolehlah rakyat berkata pemerintah ini goblok. 🐸",Algoritma Hati
94,2021-07-21 23:52:39,Dah gini kes covid…mmg boleh buat online forum je laaaa UN tu https://t.co/YhUMxIysZ9,Izuni Nia⁷ 🧈 💜
95,2021-07-21 23:52:03,"Mati mengejut depan klinik, disahkan akibat jangkitan Covid-19 https://t.co/AWFNLxmJJt",Agenda Daily
96,2021-07-21 23:52:01,Iya sumpah. Temen2 gue yg baru sembuh dri covid aja berani langsung nongkrong :) aing yg ga pernah kena aja karantina dirumah. Ga paham lg otak nya ada dmna orang2 begini https://t.co/2gjyK4at8D,ankaaa
97,2021-07-21 23:52:01,"Ini April 2021 lalu, aktivis anti masker yang akhirnya diajari alam untuk bermasker..!!

Ada yang tau keadaan orang ini sekarang sudah sembuh dari covid? 

https://t.co/0kKuNHihyO https://t.co/UgZd9xad3s",Ferdinand Hutahaean
98,2021-07-21 23:51:49,"@EnggalPMT ""Virus"" nya si ade armando ini lebih hahaya dari covid 19.",Al fatih🇮🇮🇩🇵🇸
99,2021-07-21 23:51:48,"Menuju survival of the fittest..siapa yg kuat-sehat dia yg selamat | Covid Tdk Takut Istilah,Tidak Takut Gelap
#JagaImunTingkatkanIman 
#syariahpalingadil 
#syariahislamsumberkeberkahan",hidupkan akal sehat
100,2021-07-21 23:51:46,"Perpanjangan PPKM Darurat, Pilihan Tepat Kendalikan Kasus Covid-19 https://t.co/3vGaU6AIRT",kabarpol
101,2021-07-21 23:51:44,"Perpanjangan PPKM Darurat, Pilihan Tepat Kendalikan Kasus Covid-19 https://t.co/Jiv1Rz6Juh",KabarPolitik
102,2021-07-21 23:51:38,@Jonnnyjjsuh kl pun skrg demam dan ada gejala covid ya berarti dia lg tertular dong ah payah bgt mikirnya kmn sih,²⁹El⁴
103,2021-07-21 23:51:35,Malaysia Boleh #malaysiagazette https://t.co/jvw3GItODB,Malaysia Gazette
104,2021-07-21 23:51:35,"@FerdinandHaean3 Tadi malam saya barusan menghadiri pemakaman adik ipar saya di bengkulu selatan,positif covid 19.
Pandemi ini nyata,sangat berbahaya,bukan konspirasi2an.",zipzing
105,2021-07-21 23:51:31,"@euphojunhui IYAAA DONG🤩 soalnya covid lagi marak, mereka ogah kena covid",rin on priv lagi
106,2021-07-21 23:51:30,@Maurrena Ak sering liat dia update story Instagram kynya trakhir sblm lahiran. Ga tau ternyata smpt covid dan udah ga ada aja skrg 😢 kaget bgt aku ren. Iki perburukane cepet bgt ya ren 💔,Juragan Dessert
107,2021-07-21 23:51:30,"Wkwk
Saya yg covid sakit hati liat begini https://t.co/evtPuDkZLu",Jeje-!
108,2021-07-21 23:51:29,"Personil Polres Tabanan bersama tim gabungan melaksanakan penyekatan PPKM Level-3 malam hari di Simpang Pahlawan Tabanan, mengurangi mobilitas masyarakat untuk menekan angka penyebaran Covid-19. #ppkmdarurat #taatppkmdarurat #bersamalawancorona #polrestabanan https://t.co/ElzMOhiTXX",Polsek_Seltim
109,2021-07-21 23:51:26,@txtdarigajelas Tapi tetangga gue jg ada yg kena covid keluar rumah mana kdg gapake masker,Lin
110,2021-07-21 23:51:23,covid brengsek,HeHe
111,2021-07-21 23:50:58,covid ajg bgt dh,n
112,2021-07-21 23:50:49,Emangnye kalau flu otomatis covid ke ? Ndak lah kan ?,Dedy Kurniawan
113,2021-07-21 23:50:41,"*
Dari acara itu, @ganjarpranowo mengatakan bahwa desa sudah melaksanakan program penanganan Covid dgn baik. Secara keseluruhan, belum menemukan problem berat di desa². Hanya ada beberapa persoalan, misalnya angka kasus yg tinggi yg membutuhkan bantuan.
@GanjarNusantara https://t.co/kaTbawlAV8",∆²N 🇮🇩
114,2021-07-21 23:50:37,"Gw heran sama netizen pro pemerintah, yg kek ginian di posting. Mereka cuma cari sensasi aja, biar tetap eksis. Mending posting hasil kerja @Jokowi, @KemenkesRI, Satgas Covid, @KemenkeuRI, @KemenBUMN dan berita positive tentang Covid.

Ayolah, jgn kasi mereka panggung di medsos. https://t.co/41agX4c0bP",ʀᴇᴍɪɴɢᴛᴏɴ ꜱᴛᴇᴇʟᴇ
115,2021-07-21 23:50:36,"Ya Allah, salah satu keluarga deketku ada yang baru aja meninggal carena covid, setelah ngerawat kakaknya sakit 😭 Stay safe everyone..",🐥🐠🌾
116,2021-07-21 23:50:35,"Jangan Lihat Level Tetap Siaga Menangani Covid
Koran “PR” Edisi 22 Juli 2021
Halaman Jawa Barat

MAJALENGKA, (PR).- Berada pada level apapun, tetap siaga dan waspada menghadapi penyebaran Covid-19. Hal itu harus menjadi fokus utama setiap daerah bersama masyarakatnya. https://t.co/hdWrZVh75W",Pikiran Rakyat
117,2021-07-21 23:50:34,"@ProfesorZubairi Kata dr. Yunus, covid ni self limited disease, 90% penderita yg usia 60 kebawah tampa komorbid bisa sembuh.. Jka yg 90% itu mlkukn perwatan dgn Makann krupuk, lalu sembuh,, bukan berarti kerupuk ampuh untk obat covid.. Mohon koreksi klo salah.",La Tongge
118,2021-07-21 23:50:34,@RaniKancana1 @NovenNancy sudahhh selaras covid e sungkan dewe akhirnya mencelat mbak,Mb4kVIA AE
119,2021-07-21 23:50:33,"Personil Polres Tabanan bersama tim gabungan melaksanakan penyekatan PPKM Level-3 malam hari di Simpang Pahlawan Tabanan, mengurangi mobilitas masyarakat untuk menekan angka penyebaran Covid-19. #ppkmdarurat #taatppkmdarurat #bersamalawancorona #polrestabanan https://t.co/lWheJZIAn4",Humas Polsek Kerambitan
120,2021-07-21 23:50:25,@kompascom Bagi org2 yg ngerti bhyanya covid-19 tanpa di perpanjangnya ppkm pun mrka akan patuh di rmh sj dan takut jajan sembarangan,Win
